userGroup,totalTime,score,totalQuestions,questionTimes,answers,questionCorrectness,susTotalScore,susScores
A,35:22:00,4,5,"[""04:18"",""14:09"",""06:17"",""05:53"",""04:43""]","[[""option_1""],[""option_2""],[""option_2"",""option_3""],[""option_3""],[""option_1"",""option_3""]]","[true,true,true,false,true]",55,"{""question1"":3,""question2"":2,""question3"":3,""question4"":5,""question5"":4,""question6"":2,""question7"":3,""question8"":3,""question9"":3,""question10"":2}"
B,27:27:00,2,5,"[""01:15"",""08:05"",""02:58"",""08:05"",""07:02""]","[[""option_1""],[""option_2""],[""option_2""],[""option_1"",""option_3""],[""option_3""]]","[true,true,false,false,false]",60,"{""question1"":4,""question2"":3,""question3"":3,""question4"":3,""question5"":4,""question6"":2,""question7"":4,""question8"":2,""question9"":3,""question10"":4}"
A,49:13:00,3,5,"[""04:44"",""19:48"",""04:56"",""11:35"",""08:07""]","[[""option_1""],[""option_2"",""option_3""],[""option_2"",""option_3""],[""option_2"",""option_3""],[""option_3""]]","[true,false,true,true,false]",37.5,"{""question1"":3,""question2"":4,""question3"":3,""question4"":4,""question5"":3,""question6"":3,""question7"":2,""question8"":4,""question9"":3,""question10"":4}"
A,34:56:00,2,5,"[""04:13"",""09:35"",""07:40"",""08:28"",""04:57""]","[[""option_3""],[""option_1""],[""option_2"",""option_3""],[""option_1"",""option_2"",""option_3""],[""option_1"",""option_3""]]","[false,false,true,false,true]",60,"{""question1"":3,""question2"":3,""question3"":4,""question4"":3,""question5"":4,""question6"":2,""question7"":3,""question8"":3,""question9"":3,""question10"":2}"
B,56:20:00,2,5,"[""05:40"",""19:14"",""05:52"",""06:44"",""18:46""]","[[""option_1""],[""option_2""],[""option_1"",""option_2"",""option_3""],[""option_1"",""option_2"",""option_3""],[]]","[true,true,false,false,false]",60,"{""question1"":4,""question2"":3,""question3"":3,""question4"":4,""question5"":5,""question6"":2,""question7"":4,""question8"":3,""question9"":4,""question10"":4}"
B,32:35:00,2,5,"[""03:19"",""17:47"",""05:24"",""00:57"",""05:04""]","[[""option_1""],[],[""option_1"",""option_3""],[""option_2"",""option_3""],[""option_2""]]","[true,false,false,true,false]",52.5,"{""question1"":4,""question2"":3,""question3"":4,""question4"":4,""question5"":3,""question6"":3,""question7"":4,""question8"":3,""question9"":3,""question10"":4}"
B,36:22:00,2,5,"[""02:20"",""09:54"",""06:57"",""06:54"",""10:14""]","[[""option_1""],[""option_2""],[""option_1""],[""option_1"",""option_2"",""option_3""],[""option_1"",""option_2"",""option_3""]]","[true,true,false,false,false]",52.5,"{""question1"":4,""question2"":3,""question3"":3,""question4"":4,""question5"":4,""question6"":3,""question7"":3,""question8"":3,""question9"":4,""question10"":4}"
A,45:55:00,3,5,"[""04:49"",""10:51"",""07:41"",""10:16"",""12:17""]","[[""option_1""],[""option_2"",""option_3""],[""option_2"",""option_3""],[""option_1"",""option_2"",""option_3""],[""option_1"",""option_3""]]","[true,false,true,false,true]",62.5,"{""question1"":3,""question2"":1,""question3"":3,""question4"":3,""question5"":3,""question6"":2,""question7"":4,""question8"":3,""question9"":3,""question10"":2}"
A,19:22:00,2,5,"[""04:42"",""04:21"",""04:01"",""03:31"",""02:45""]","[[""option_3""],[""option_2""],[""option_3""],[""option_1"",""option_2""],[""option_1"",""option_3""]]","[false,true,false,false,true]",67.5,"{""question1"":4,""question2"":3,""question3"":4,""question4"":3,""question5"":4,""question6"":2,""question7"":4,""question8"":2,""question9"":3,""question10"":2}"
B,30:14:00,2,5,"[""04:28"",""09:22"",""06:10"",""01:30"",""08:42""]","[[""option_1""],[],[""option_1"",""option_3""],[""option_2"",""option_3""],[""option_1""]]","[true,false,false,true,false]",65,"{""question1"":4,""question2"":3,""question3"":3,""question4"":4,""question5"":4,""question6"":2,""question7"":4,""question8"":2,""question9"":4,""question10"":2}"
A,47:15:00,3,5,"[""03:57"",""12:12"",""04:04"",""10:33"",""16:27""]","[[""option_1""],[""option_2""],[""option_2"",""option_3""],[""option_1"",""option_2""],[""option_3""]]","[true,true,true,false,false]",60,"{""question1"":5,""question2"":4,""question3"":3,""question4"":5,""question5"":5,""question6"":5,""question7"":3,""question8"":2,""question9"":5,""question10"":1}"
A,21:36,4,5,"[""04:50"",""05:08"",""03:52"",""04:39"",""03:03""]","[[""option_1""],[""option_2"",""option_3""],[""option_2"",""option_3""],[""option_2"",""option_3""],[""option_1"",""option_3""]]","[true,false,true,true,true]",62.5,"{""question1"":4,""question2"":2,""question3"":4,""question4"":2,""question5"":4,""question6"":3,""question7"":3,""question8"":2,""question9"":3,""question10"":4}"
B,33:28:00,5,5,"[""03:45"",""09:14"",""07:47"",""04:38"",""08:03""]","[[""option_1""],[""option_2""],[""option_2"",""option_3""],[""option_2"",""option_3""],[""option_1"",""option_3""]]","[true,true,true,true,true]",75,"{""question1"":4,""question2"":1,""question3"":5,""question4"":5,""question5"":5,""question6"":1,""question7"":4,""question8"":1,""question9"":4,""question10"":4}"
A,31:16:00,3,5,"[""03:04"",""06:56"",""06:56"",""05:37"",""08:40""]","[[""option_1""],[""option_2""],[""option_3""],[""option_1"",""option_2"",""option_3""],[""option_1"",""option_3""]]","[true,true,false,false,true]",45,"{""question1"":4,""question2"":4,""question3"":4,""question4"":5,""question5"":4,""question6"":3,""question7"":3,""question8"":2,""question9"":2,""question10"":5}"
B,57:08:00,4,5,"[""03:15"",""08:38"",""03:44"",""22:04"",""19:25""]","[[""option_1""],[""option_2""],[""option_2"",""option_3""],[""option_2"",""option_3""],[""option_3""]]","[true,true,true,true,false]",47.5,"{""question1"":1,""question2"":5,""question3"":1,""question4"":3,""question5"":3,""question6"":1,""question7"":1,""question8"":1,""question9"":4,""question10"":1}"
